대분류,중분류,소분류,발명의 명칭,출원일,대표출원인 국적
UAM,기체•부품,기계•전기전자 시스템,"살포량 조정 방법, 장치, 무선 조정 무인기 및 프로그램",2020.02.13,CN
UAM,기체•부품,기체구조,Unmanned helicopter (無人ヘリコプタ),2014.06.26,JP
UAM,기체•부품,기계•전기전자 시스템,The unmanned helicopter,2014.06.26,JP
UAM,기체•부품,기계•전기전자 시스템,Unmanned helicopter (無人ヘリコプタ),2014.06.26,JP
UAM,기체•부품,기체구조,Vertical take-off and landing flight vehicle (垂直離着陸飛行体),2014.10.29,JP
UAM,기체•부품,기체구조,미래 자율주행 이동수단의 연계성을 위한 탑승동체 및 이를 이용한 탑승 연계 방법(boarding apparatus for connectivity of future unmanned vehicles and boarding method using it),2021.03.22,KR
UAM,인프라,수리/정비,회전익 항공기의 로터헤드의 텐션비틀기스트랩,2021.04.23,CH
UAM,기체•부품,기계•전기전자 시스템,피치 제어 유닛암과 피치호른과의 사이의 접속부,2021.04.23,CH
UAM,기체•부품,동력•추진 시스템,목표 항공기의 무력화 및 포착을 위한 전개 가능한 항공상의 대책 수단,2019.10.03,US
UAM,기체•부품,동력•추진 시스템,접는 식 프로펠러 어셈블리,2021.01.08,NO
UAM,기체•부품,기계•전기전자 시스템,"능동형 진동 제어 시스템에 사용하기 위한 개선된 원형 힘 발생기 장치들, 시스템들, 및 방법들(improved circular force generator devices, systems, and methods for use in an active vibration control system)",2013.11.22,US
UAM,기체•부품,기체구조,다수의 로터들을 포함하는 헬리콥터형 비행장치(flying apparatus having multiple rotors),2013.11.06,KR
UAM,기체•부품,기계•전기전자 시스템,대상 항공기의 무력화를 촉진하는 대항적 배치 시스템,2019.10.03,US
UAM,기체•부품,기체구조,접이식 드론(foldable unmanned aerial vehicle),2015.12.29,CN
UAM,기체•부품,기체구조,날개 끝으로 자리매김된 프로펠러를 따르는 항공기,2020.12.30,US
UAM,기체•부품,동력•추진 시스템,멀티 로터 항공기,2020.12.28,CN
UAM,기체•부품,동력•추진 시스템,하이브리드 전기 추진 아키텍쳐 및 그러한 아키텍쳐에 있어서 전기 에너지를 흩어 없어짐 시키기 위한 방법,2020.02.24,FR
UAM,기체•부품,기계•전기전자 시스템,무선 조정 무인기도킹시스템,2019.08.09,GB
UAM,기체•부품,동력•추진 시스템,공중 정지 가능한 항공기,2021.04.27,IT
UAM,기체•부품,기체구조,무선 조정 무인기를 착륙 및 충전하기 위한 드론 박스의 위치를 확인하는 방법 및 시스템,2020.09.28,IN
UAM,기체•부품,기계•전기전자 시스템,"무인 항공기를 위한 서비스에서 제한에 근거하여 작동하는 방법, 및 uav를 위한 서비스에서 제한에 근거하여 작동하기 위한 uav, uav 제어 서버 및 기지국.",2020.04.17,JP
UAM,항행•교통관리,UAM 통합 교통관리,무인 항공기 및 무인 항공기가 영역에 관하는 일시적인 비행 계획을 생성하는 방법,2021.03.11,JP
UAM,기체•부품,기체구조,무인 항공기를 위한 착륙 구조체,2020.02.14,US
UAM,기체•부품,기체구조,무인 비행체(unmanned aerial vehicle),2016.01.08,KR
UAM,기체•부품,기계•전기전자 시스템,자력 탐사 드론(magnetic exploration drone),2018.12.04,KR
UAM,기체•부품,기체구조,"무선 조정 무인기 클러스터(cluster) 시스템, 이륙 제어 방법, 장치, 시스템 및 독해 가능한 매체",2020.01.14,CN
UAM,기체•부품,기계•전기전자 시스템,접는 식 접지가능 암을 가진 자율형 무인 항공 기제,2021.01.13,US
UAM,기체•부품,동력•추진 시스템,Ｇｉｓ를 이용하는 자동항법시스템을 갖는 산업용 무인헬기(ruav for gis),2009.06.23,KR
UAM,기체•부품,기체구조,개선된 날개 설치구조를 갖는 무인항공기(uninhabited aerial vehicle having improved structure of wing installition),2009.06.12,KR
UAM,기체•부품,동력•추진 시스템,"과속 엔진의 정지방법, 관련 시스템 및 회전익 항공기(method for stopping an engine in overspeed, and associated system and rotorcraft)",2021.04.15,FR
UAM,기체•부품,동력•추진 시스템,헬리콥터를 위한 하이브리드 구동 시스템,2021.01.26,CH
UAM,기체•부품,기체구조,수직 이착륙 무인 항공기(vertical take off and landing unmanned aerial vehicle),2012.09.10,KR
UAM,기체•부품,동력•추진 시스템,무인 헬리콥터의 기체진동방지장치(anti vibration apparatus for body of model helicopter),2006.06.15,KR
UAM,기체•부품,동력•추진 시스템,무인 헬리콥터의 메인로터회전잠금장치(anti rotation apparatus for main roter of model helicopter),2006.06.15,KR
UAM,기체•부품,기체구조,세 쌍의 로터를 가진 수직이착륙기(convertiplane with three pair rotor),2006.10.20,KR
UAM,기체•부품,기체구조,잠수비행 자동차(submarine and flying automobile),2014.12.30,KR
UAM,기체•부품,기체구조,"수직 이착륙 항공기, 수직 이착륙 항공기를 제어하기 위한 방법 및 시스템",2021.05.21,ZA
UAM,기체•부품,기계•전기전자 시스템,영구자석을 강제적으로 소자하기 위한 장치를 포함한 전기기계,2019.12.19,FR
UAM,기체•부품,기체구조,4개의 날개 구조를 갖춘 회전익 무인정찰기(the unmanned aerial vehicle have 4 legs and 4 motors),2008.09.26,KR
UAM,기체•부품,기계•전기전자 시스템,점멸신호기가 구비된 송전 케이블용 항공장애표시구(aviation obstacle indication device for power transmission cable to be equipped flickering a signal),2009.03.24,KR
UAM,기체•부품,동력•추진 시스템,"접지가능인 프로 베라 블레이드를 가진 추진 유닛 및, 블레이드의 절첩방법",2021.06.14,FR
UAM,기체•부품,동력•추진 시스템,"접지가능인 프로 베라 블레이드를 가진 추진 유닛 및, 블레이드의 절첩방법",2021.06.14,FR
UAM,기체•부품,기계•전기전자 시스템,항공기용 로터 시스템,2021.01.22,DE
UAM,기체•부품,동력•추진 시스템,"절첩 가능한 프로펠러 블레이드를 가진 추진 유닛 및, 인덱스 첨부 각도 위치에서 프로펠러를 정지시키기 위한 방법",2021.06.10,FR
UAM,기체•부품,기계•전기전자 시스템,화재진압을 위한 헬기용 물탱크(the water tank for the fire suppression helicopter),2020.05.07,KR
UAM,기체•부품,동력•추진 시스템,분리한 자유도를 가진 항공기,2019.11.20,ES
UAM,인프라,버티포트 보조설비,재구성 가능한 무인 항공기,2021.06.10,IN
UAM,기체•부품,기계•전기전자 시스템,탈부착형 헥사콥터(the detachable type hexarcopter),2017.02.01,KR
UAM,기체•부품,기체구조,수직 이착륙 차량,2020.03.04,NL
UAM,기체•부품,기체구조,Vtol 하늘을 나는 차의 유익의 자립형 kojo 헬기 패드,2022.03.30,US
